ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001640334-25-001923	3322571	Warrant (right to buy)		6.24		28-OCT-2025				4	C	false	F2, F1			12566.0		19793.0			F2, F1	A		28-OCT-2025		28-OCT-2030		Common Stock		6846.0				12566.0		19793.0		D			
0001640334-25-001921	3322734	Warrant (right to buy)		3.4		28-OCT-2025				4	C	false	F2, F1								F2, F1	A		28-OCT-2025		28-OCT-2030		Common Stock		17952.0								D			
0001640334-25-001921	3322735	Convertible Promissory Note		3.4		28-OCT-2025				4	C	false	F2, F1							27710.0		A		28-OCT-2025		28-APR-2026		Common Stock										D			
0001640334-25-001921	3322733	Warrant (right to buy)		6.24		28-OCT-2025				4	C	false	F2, F1			17952.0		27710.0			F2, F1	A		28-OCT-2025		28-OCT-2030		Common Stock		9586.0				17952.0		27710.0		D			
0001640334-25-001921	3322732	Convertible Promissory Note			F2, F1	28-OCT-2025				4	C	false	F2, F1			9586.0		35000.0		35000.0		D		01-MAY-2025		28-OCT-2025		Common Stock			F2, F1		F2, F1	9586.0		0.0		D			
0001716837-25-000013	3322659	Class B Common Stock		0.0		28-OCT-2025				4	C	0				2900.0	F1			0.0		D			F1		F1	Class A Common Stock		2900.0				16721811.0				I		Wood 2017 Revocable Trust	
0001716837-25-000013	3322660	Class B Common Stock		0.0		30-OCT-2025				4	C	0				18700.0	F1			0.0		D			F1		F1	Class A Common Stock		18700.0				16703111.0				I		Wood 2017 Revocable Trust	
0001193125-25-259069	3322565	Stock Option (Right to Buy)		14.7		30-OCT-2025				4	D	false				27400.0				0.0		D			F4, F2, F3, F1, F5	09-FEB-2033		Common Stock		27400.0				0.0				D			
0001193125-25-259069	3322564	Stock Option (Right to Buy)		2.64		30-OCT-2025				4	D	false				12500.0				0.0		D			F4, F2, F3, F1, F5	16-MAY-2032		Common Stock		12500.0				0.0				D			
0001193125-25-259069	3322563	Stock Option (Right to Buy)		18.68		30-OCT-2025				4	D	false				25000.0				0.0		D			F4, F2, F3, F1, F5	01-NOV-2031		Common Stock		25000.0				0.0				D			
