ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001841785-25-000003	2002300	Stock Option (right to buy)		3.55					F9	17-MAY-2034		Common Stock		119.0				119.0				D			
0001841785-25-000003	2002299	Stock Option (right to buy)		992.0					F8	09-JUN-2032		Common Stock		63.0				63.0				D			
0001841785-25-000003	2002298	Stock Option (right to buy)		2848.0					F7	15-JAN-2031		Common Stock		157.0				157.0				D			
0000914190-25-000052	2002362	Stock Option (right to buy)		2.4					F1	15-OCT-2033		Class A Common Stock		25000.0				25000.0				D			
0000914190-25-000051	2002479	Stock Option (right to buy)		2.4					F1	08-AUG-2034		Class A Common Stock		25000.0				25000.0				D			
0000914190-25-000050	2002297	Stock Option (right to buy)		2.4					F1	15-OCT-2033		Class A Common Stock		25000.0				25000.0				D			
0000914190-25-000049	2002481	Stock Option (right to buy)		2.4					F1	15-OCT-2033		Class A Common Stock		62500.0				62500.0				D			
0000914190-25-000048	2002458	Stock Option (right to buy)		2.4					F1	15-OCT-2033		Class A Common Stock		62500.0				62500.0				D			
0001213900-25-118843	2002329	Performance Based Restricted Stock Units			F5				F9		F9	Common Stock		60000.0				60000.0				D			
0001213900-25-118843	2002328	Performance Based Restricted Stock Units			F5				F8		F8	Common Stock		60000.0				60000.0				D			
0001213900-25-118843	2002327	Restricted Stock Units			F3				F7		F7	Common Stock		30000.0				30000.0				D			
0001213900-25-118843	2002326	Performance Based Restricted Stock Units			F5				F6	03-DEC-2029		Common Stock		30000.0				30000.0				D			
0001071739-25-000190	2002325	Common Stock Option (right to buy)		80.57				07-FEB-2025		07-FEB-2032		Common Stock		10000.0				10000.0				D			
0000921895-25-003283	2002445	Cash-Settled Total Return Swap			F2				F2	02-MAR-2026	F3, F2	Common stock, par value $0.01 per share		6514479.0								I		See Footnote	F1
0001734563-25-000015	2002476	Class B Common Stock			F7				F7		F7	Class A Common Stock		7608764.0				7608764.0				I		See Footnote	F5
0001734563-25-000015	2002477	Class B Common Stock			F7				F7		F7	Class A Common Stock		500500.0				500500.0				I		See foonote	F8
0001585521-25-000206	2002470	Restricted Stock Units			F10				F12		F12	Class A Common Stock		90518.0				90518.0				D			
0001585521-25-000206	2002469	Restricted Stock Units			F10				F11		F11	Class A Common Stock		114844.0				114844.0				D			
0001349688-25-000009	2002482	SAR	F2	71.65					F3	15-NOV-2026		Class B Common		20000.0				20000.0				D			
