ACCESSION_NUMBER,NONDERIV_HOLDING_SK,SECURITY_TITLE,SECURITY_TITLE_FN,TRANS_FORM_TYPE,TRANS_FORM_TYPE_FN,SHRS_OWND_FOLWNG_TRANS,SHRS_OWND_FOLWNG_TRANS_FN,VALU_OWND_FOLWNG_TRANS,VALU_OWND_FOLWNG_TRANS_FN,DIRECT_INDIRECT_OWNERSHIP,DIRECT_INDIRECT_OWNERSHIP_FN,NATURE_OF_OWNERSHIP,NATURE_OF_OWNERSHIP_FN
0001127602-25-009863,2613930,Common Stock,,,,367.55,,,,I,,Gallagher 401(k) plan account,
0001127602-25-009863,2613927,Common Stock,,,,66703.0,,,,I,,By Irrevocable Trust,
0001127602-25-009863,2613926,Common Stock,,,,255965.0,,,,I,,By Corporation,
0001127602-25-009863,2613925,Common Stock,,,,18120.0,,,,I,,By Spouse's Trust,F2
0001127602-25-009863,2613929,Common Stock,,,,219655.0,,,,I,,By Trust,F4
0001104659-25-025181,2396260,Class A Common Stock,,,,3295000.0,F6,,,I,,See footnotes,"F4, F3, F8, F7"
0000081362-25-000049,2401487,Common Stock,,,,1241.0,F6,,,I,,By 401(k),
0000081362-25-000047,2475307,Common Stock,,,,63.0,F6,,,I,,By 401(k),
0001127602-25-009860,2498304,Common Stock,,,,367.55,,,,I,,Gallagher 401(k) plan account,
0001127602-25-009860,2498302,Common Stock,,,,32428.0,,,,I,,By wife,
0001127602-25-009860,2498303,Common Stock,,,,118440.0,,,,I,,By wife as trustee,"F3, F2"
0001127602-25-009860,2498300,Common Stock,,,,62295.0,,,,I,,By grantor retained annuity trust,
0001127602-25-009860,2498301,Common Stock,,,,66709.0,,,,I,,By Irrevocable Trust,
0001062993-25-005805,2680240,Common Stock - Non Voting,,,,2620.0,,,,D,,,
0001028918-25-000053,2660778,PPBI Common Stock,,,,125430.0,,,,I,,By Trust,F6
0001028918-25-000052,2500693,PPBI Common Stock,,,,369641.0,F2,,,I,,By The Gardner Family Trust,
0001127602-25-009857,2734712,Common Stock,,,,367.54,,,,I,,Gallagher 401(k) plan account,
0001127602-25-009857,2734711,Common Stock,,,,3165.0,,,,I,,By Spouse,F6
0001028918-25-000043,2761120,PPBI Common Stock,,,,4200.0,,,,I,,By Morgan Stanley IRA,
0001028918-25-000042,2616836,PPBI Common Stock,,,,308358.0,F3,,,I,,By The Fargo 2009 Rev Trust,
0001028918-25-000038,2755683,PPBI Common Stock,,,,6000.0,F3,,,I,,By Spouse,
0001127602-25-009855,2693964,Common Stock,,,,367.51,,,,I,,Gallagher 401(k) plan account,
0001062993-25-005798,2772813,Common Stock - Voting,,,,6574.0,,,,I,,By 2023 GRAT G,
0001062993-25-005798,2772814,Common Stock - Voting,,,,6574.0,,,,I,,By 2023 GRAT H,
0001062993-25-005798,2772816,Common Stock - Voting,,,,5903.0,,,,I,,By 2024 GRAT J,
0001062993-25-005798,2772817,Common Stock - Voting,,,,14060.0,,,,I,,BY 2025 GRAT K,
0001062993-25-005798,2772812,Common Stock - Voting,,,,14455.5,,,,I,,401(k) Retirement Plan,
0001062993-25-005798,2772815,Common Stock - Voting,,,,5903.0,,,,I,,By 2024 GRAT I,
0000860413-25-000028,2503923,Common Stock,,,,1232.0,,,,I,,401k,
0001624794-25-000024,2414236,Common Stock,,,,1802.0,,,,I,,by ESOP,
0001624794-25-000023,2408798,Common Stock,,,,1802.0,,,,I,,by ESOP,
0001624794-25-000022,2653012,Common Stock,,,,3143.0,,,,I,,by ESOP,
0000950170-25-041536,2662237,Common Stock,,,,38768.0,,,,D,,,
0001127602-25-009853,2447623,Common Stock,,,,287.58,,,,I,,Gallagher 401(k) plan account,
0001062993-25-005784,2479631,Common Stock - Non Voting,,,,325.81,,,,D,,,
0000950170-25-041527,2425943,Common Shares,,,,3562.0,F1,,,I,,Employee Stock Purchase Plan,
0000949157-25-000028,2475121,Common Stock,,,,14.55,F2,,,I,,By 401(k) plan,
0000950170-25-041525,2630144,Common Shares,,,,253.0,F1,,,I,,Employee Stock Purchase Plan,
0001415889-25-008477,2607256,Common Stock,,,,109240.0,,,,D,F3,,
0001062993-25-005778,2799066,Common Stock - Non Voting,,,,5000.0,,,,D,,,
