ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001777241-25-000003	2999728	Restricted Stock Units			F1	01-JUL-2025				4	M	0				1885.0				0.0		D			F5		F5	Common Stock		1885.0				5657.0				D			
0001777241-25-000003	2999725	Restricted Stock Units			F1	01-JUL-2025				4	M	0				7960.0	F2			0.0		D			F3		F3	Common Stock		7960.0	F2			7960.0				D			
0001278521-25-000008	3128650	Employee Stock Option (Right to Buy)		0.33		30-JUN-2025		30-JUN-2025		4	E	0				50000.0				0.33		A		30-JUN-2020		30-JUN-2025		Common Stock		50000.0	F1			468750.0				D			
0000950170-25-093501	3118795	RSU Award		0.0		02-JUL-2025				4	D	false				6840.0					F2	D			F2		F3	Common Stock		6840.0				0.0				D			
0000950170-25-093499	2954712	RSU Award		0.0		02-JUL-2025				4	D	false				6840.0					F3	D			F3		F4	Common Stock		6840.0				0.0				D			
0000950170-25-093498	2859072	RSU Award		0.0		02-JUL-2025				4	D	false				6840.0					F2	D			F2		F3	Common Stock		6840.0				0.0				D			
0000950103-25-008430	2859502	Restricted Stock Unit			F1	30-JUN-2025				4	M	0				1567.0				0.0		D			F2		F2	Common Stock		1567.0				9400.0				D			
0000950170-25-093496	3267731	RSU Award		0.0		02-JUL-2025				4	D	false				6840.0					F2	D			F2		F3	Common Stock		6840.0				0.0				D			
0000950170-25-093494	2859081	RSU Award		0.0		02-JUL-2025				4	D	false				6840.0					F3	D			F3		F4	Common Stock		6840.0				0.0				D			
0000950103-25-008429	2859480	Restricted Stock Unit			F1	30-JUN-2025				4	M	0				22918.0				0.0		D			F7		F7	Common Stock		22918.0				414489.0				D		By Spouse	F3
0000950103-25-008429	2859481	Restricted Stock Unit			F1	30-JUN-2025				4	M	0				22918.0				0.0		D			F7		F7	Common Stock		22918.0				414489.0				I			
0000950170-25-093491	3235007	RSU Award		0.0		02-JUL-2025				4	D	false				6840.0					F2	D			F2		F3	Common Stock		6840.0				0.0				D			
0000950170-25-093489	3132536	RSU Award		0.0		02-JUL-2025				4	D	false				6840.0					F2	D			F2		F3	Common Stock		6840.0				0.0				D			
0000950103-25-008428	3218590	Restricted Stock Unit			F1	30-JUN-2025				4	M	0				22918.0				0.0		D			F6		F6	Common Stock		22918.0				414489.0				I			
0000950103-25-008428	3218589	Restricted Stock Unit			F1	30-JUN-2025				4	M	0				22918.0				0.0		D			F6		F6	Common Stock		22918.0				414489.0				D		By Spouse	F3
0000950170-25-093487	3032449	RSU Award		0.0		02-JUL-2025				4	D	false				6840.0					F2	D			F2		F3	Common Stock		6840.0				0.0				D			
0000950170-25-093485	2859044	RSU Award		0.0		02-JUL-2025				4	D	false				6840.0					F2	D			F2		F3	Common Stock		6840.0				0.0				D			
0001576280-25-000225	3027741	Restricted Stock Units		0.0		01-JUL-2025				4	M	0				1667.0				0.0		D			F4		F3	Common Stock		1667.0				8337.0				D			
0001576280-25-000225	3027740	Restricted Stock Units		0.0		01-JUL-2025				4	M	0				974.0				0.0		D			F2		F3	Common Stock		974.0				4870.0				D			
0001576280-25-000223	2976719	Restricted Stock Units		0.0		01-JUL-2025				4	M	0				1607.0				0.0		D			F2		F3	Common Stock		1607.0				8035.0				D			
0001576280-25-000223	2976720	Restricted Stock Units		0.0		01-JUL-2025				4	M	0				1084.0				0.0		D			F4		F3	Common Stock		1084.0				5419.0				D			
0001576280-25-000221	3117671	Restricted Stock Units		0.0		01-JUL-2025				4	M	0				1929.0				0.0		D			F2		F3	Common Stock		1929.0				9642.0				D			
0001576280-25-000221	3117672	Restricted Stock Units		0.0		01-JUL-2025				4	M	0				1667.0				0.0		D			F4		F3	Common Stock		1667.0				8337.0				D			
